Customer Name,Pricelist,FD/FILLIN,ARROYO,ARS,LCR,TBR,MB,ARS-TBR,ARYO-TBR,ARYO-ST,ST,LOC_CODE,SEND_TO,CC_S,BCC_S,NAME,HIDE_PRICING,CAPPED
ETCZ3 (no cap),ETCZ3,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ3,ETCZ3,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ4 (no cap),ETCZ4,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ4,ETCZ4,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ5 (no cap),ETCZ5,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ5,ETCZ5,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ6 (no cap),ETCZ6,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ6,ETCZ6,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PLAZATIRE,PLAZATIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
NINETYNINETIRES,NINETYNINETIRES,FILL IN,N,Y,N,N,N,Y,N,N,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PERFORMANCEPLUS,PERFORMANCEPLUS,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
POINTSV2,POINTSV2,FILL IN,Y,Y,Y,Y,N,Y,Y,Y,Y,PS,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
P_NUMAN,P_NUMAN,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
OCTAGONTIRE,OCTAGONTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
NORTHWESTTIRE,NORTHWESTTIRE,FILL IN,Y,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
MASSWHOLESALETIRE,MASSWHOLESALETIRE,FILL IN,N,Y,Y,Y,N,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
HORNSBYTIRE2,HORNSBYTIRE,FILL IN,Y,Y,Y,Y,N,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
HORNSBYTIRE,HORNSBYTIRE,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Kade & Ashley,N,Y
EASTCOASTNC,EASTCOASTNC,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Bryan and Jo,N,Y
OTRUSA,OTRUSA,FILL IN,N,Y,N,Y,N,Y,Y,N,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WestsideWholesaleTire,WestsideWholesaleTire,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TwinValleyTire,TwinValleyTire,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
NORTHEASTERNTIRE,NORTHEASTERNTIRE,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PATCO,PATCO,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
MICTIRES,MICTIRES,FILL IN,N,Y,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ROADRUNNER,ROADRUNNER,FILL IN,N,Y,Y,Y,N,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
MerajTire,MerajTire,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BestValueTire,BestValueTire,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
UNITEDTIREANDWHEEL,UNITEDTIREANDWHEEL,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRESDIRECTIDAHO,TIRESDIRECTIDAHO,FD,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRESDIRECTKENT,TIRESDIRECTKENT,FD,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
KANDM,KANDM,FD,N,Y,Y,Y,N,N,N,N,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
SCHNEIDER,SCHNEIDERTIRE,FD,N,Y,Y,Y,N,N,N,N,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EXXPRESSTIRE,EXXPRESSTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
J_ATTURO,J_ATTURO,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Michael & Karl,N,Y
